期間,排名,國家,貿易總值（新臺幣千元）,百分比,備註
108年1-9月,1,中國大陸,3349023888,23.87,
108年1-9月,2,美國,1850302270,13.19,
108年1-9月,3,日本,1520749666,10.84,
108年1-9月,4,香港,944285571,6.73,
108年1-9月,5,南韓,790488146,5.63,
108年1-9月,6,新加坡,594811026,4.24,
108年1-9月,7,馬來西亞,455930286,3.25,
108年1-9月,8,德國,368411850,2.63,
108年1-9月,9,越南,367570135,2.62,
108年1-9月,10,澳大利亞,307985030,2.2,
108年1-9月,11,荷蘭,291576596,2.08,
108年1-9月,12,其他國家,260880199,1.86,
108年1-9月,13,泰國,226588549,1.62,
108年1-9月,14,沙烏地阿拉伯,211732596,1.51,
108年1-9月,15,菲律賓,195037334,1.39,
108年1-9月,16,印尼,179363304,1.28,
108年1-9月,17,阿拉伯聯合大公國,147572004,1.05,
108年1-9月,18,印度,132058032,0.94,
108年1-9月,19,英國,129067548,0.92,
108年1-9月,20,法國,112583034,0.8,
108年1-9月,21,義大利,106617731,0.76,
108年1-9月,22,科威特,102447720,0.73,
108年1-9月,23,俄羅斯,100971293,0.72,
108年1-9月,24,加拿大,100340091,0.72,
108年1-9月,25,墨西哥,83211686,0.59,
108年1-9月,26,巴西,76241287,0.54,
108年1-9月,27,卡達,69851635,0.5,
108年1-9月,28,瑞士,55432909,0.4,
108年1-9月,29,比利時,47816497,0.34,
108年1-9月,30,西班牙,46670020,0.33,
108年9月,1,中國大陸,419360910,25.31,
108年9月,2,美國,206847058,12.48,
108年9月,3,日本,183363402,11.06,
108年9月,4,香港,111577351,6.73,
108年9月,5,南韓,86539429,5.22,
108年9月,6,新加坡,75155039,4.54,
108年9月,7,馬來西亞,50164489,3.03,
108年9月,8,荷蘭,50123544,3.02,
108年9月,9,越南,46610341,2.81,
108年9月,10,德國,40538178,2.45,
108年9月,11,其他國家,33771843,2.04,
108年9月,12,澳大利亞,29611223,1.79,
108年9月,13,泰國,25227998,1.52,
108年9月,14,菲律賓,25117475,1.52,
